Date,Country,Market_Type,Return
2001-02-07,France,DM,-0.012865182296106104
2001-02-08,France,DM,0.004163923886514271
2001-02-09,France,DM,-0.009008897275929122
2001-02-12,France,DM,0.006429617993510482
2001-02-13,France,DM,-0.0043524070992727315
2001-02-14,France,DM,-0.01341767946115456
2001-02-15,France,DM,0.009641053332838987
2001-02-16,France,DM,-0.013630106324717211
2001-02-19,France,DM,-7.828146700376642e-05
2001-02-20,France,DM,-0.006134092514680483
2001-02-21,France,DM,-0.01030309370991801
2001-02-22,France,DM,-0.005700630142724326
2001-02-23,France,DM,-0.017668489129160306
2001-02-26,France,DM,0.014694909854834667
2001-02-27,France,DM,0.003987437068794467
2001-02-28,France,DM,-0.00816686229116904
2001-03-01,France,DM,-0.0061549025608195074
2001-03-02,France,DM,-0.009540641059603186
2001-03-05,France,DM,0.012232476446869919
2001-03-06,France,DM,0.013019765347998142
2001-03-07,France,DM,0.005283432109438126
2000-01-04,China,EM,0.0310831095348044
2000-01-05,China,EM,-0.0024853093195388227
2000-01-06,China,EM,0.03765006139813082
2000-01-07,China,EM,0.04058647406615302
2000-01-10,China,EM,0.01732193607209765
2000-01-11,China,EM,-0.04837750585367109
2000-01-12,China,EM,-0.031641592110021814
2000-01-13,China,EM,-0.01035843463443447
2000-01-14,China,EM,-0.016037333717007447
2000-01-17,China,EM,0.014878951681773743
2000-01-18,China,EM,-0.00328272245397168
2000-01-19,China,EM,0.017230895535105827
2000-01-20,China,EM,0.017994370098866463
2000-01-21,China,EM,-0.0027856624128034845
2000-01-24,China,EM,0.008026125115442906
2000-01-25,China,EM,0.0006960279565317723
2000-01-26,China,EM,0.0019574821757847994
2000-01-27,China,EM,0.016219767131802832
2000-01-28,China,EM,0.024779808711115132
2000-02-14,China,EM,0.044378180271922495
2000-02-15,China,EM,-0.011274305730690517
2000-02-16,China,EM,0.010557037634107026
2000-02-17,China,EM,-0.03179968591929143
2000-02-18,China,EM,0.006579724447497057
2000-02-21,China,EM,0.015830632224598764
2000-02-22,China,EM,-0.027855060650409637
2000-02-23,China,EM,-0.016678958556422534
2000-02-24,China,EM,0.02408883932455076
2000-02-25,China,EM,-0.002729573881952953
2000-02-28,China,EM,0.0469844422054446
2000-02-29,China,EM,0.01707821060157206
2000-03-01,China,EM,-0.01378873825664526
2000-03-02,China,EM,0.005545404037953125
2000-03-03,China,EM,0.01089208698015705
2000-03-06,China,EM,-0.0428600327908808
2000-03-07,China,EM,0.018085496621448115
2000-03-08,China,EM,0.014153026634886432
2000-03-09,China,EM,0.009575893881330472
2000-03-10,China,EM,-0.016114981481333654
2000-03-13,China,EM,0.013942685330575104
2000-03-14,China,EM,-0.0263570139070302
2000-03-15,China,EM,-0.004486725916486257
2000-03-16,China,EM,-0.05067118427284891
2000-03-17,China,EM,0.036251286101483426
2000-03-20,China,EM,0.022437646375346867
2000-03-21,China,EM,-0.000772957991031967
2000-03-22,China,EM,0.012350804019463554
2000-03-23,China,EM,0.009195386476896253
2000-03-24,China,EM,-0.002255674852529469
2000-03-27,China,EM,0.025158566322827387
2000-03-28,China,EM,0.0013610645033876223
2000-03-29,China,EM,-0.005353098248876337
2000-03-30,China,EM,0.012955363695382726
2000-03-31,China,EM,-0.007088735555743832
2000-04-03,China,EM,0.010720005481346936
2000-04-04,China,EM,-0.019748538598369544
2000-04-05,China,EM,0.0071926270602033285
2000-04-06,China,EM,0.020408995202765557
2000-04-07,China,EM,-0.0019310578907767795
2000-04-10,China,EM,0.004989919721361977
2000-04-11,China,EM,-0.000690799129621388
2000-04-12,China,EM,-0.016095309520354265
2000-04-13,China,EM,0.010280638605502377
2000-04-14,China,EM,0.0044451124447701185
2000-04-17,China,EM,-0.016009962135766515
2000-04-18,China,EM,0.0062442058993660956
2000-04-19,China,EM,0.013338140564010583
2000-04-20,China,EM,0.0038178009403087264
2000-04-21,China,EM,0.0034049879965012703
